Name                                                                                                 Version
Python 3.7.0 Development Libraries (64-bit debug)                                                    3.7.150.0

Dropbox 25 GB                                                                                        3.0.9.0

Apple Application Support (64-bit)                                                                   3.1.3

vs_filehandler_x86                                                                                   15.7.27617

Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17                                         9.0.30729

Java(TM) SE Development Kit 11.0.1 (64-bit)                                                          11.0.1.0

ASUS Virtual Camera                                                                                  1.0.30

WinRT Intellisense Desktop - en-us                                                                   10.1.17134.12

Stopping Plex                                                                                        1.14.1488

Java Auto Updater                                                                                    2.8.201.9

vs_FileTracker_Singleton                                                                             15.9.28128

Universal CRT Headers Libraries and Sources                                                          10.1.17134.12

ROG Gaming Center                                                                                    1.0.8
